,country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
128,Niger,,,,719000,738000,,,757000,770000,,,804000,,,,,873000,,,980000,101M,104M,11M,,,,,122M,126M,127M,131M,129M,127M,125M,123M,129M,132M,135M,133M,129M,123M,115M,116M,123M,128M,128M,13M,124M,,165M,
129,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702M,656M,,,,682M,69M,698M,653M,835M,835M,862M,,,,,,,,,,
130,Nicaragua,205000,198000,204000,206000,210000,205000,204000,213000,229000,,197000,,219000,224000,241000,222000,235000,231000,237000,256000,245000,232000,211000,208000,202000,216000,220000,,,143000,120000,89200,33700,,6440,4880,18700,20400,14400,,28200,,,,,,,,,,
131,Netherlands,,105000,115000,125000,137000,139000,124000,118000,110000,100000,96000,101000,124000,144000,155000,156000,88900,66300,48500,42100,43900,51700,62400,69900,11400,8790,6890,3830,,,,,,,,,,,,,,,,,,,,11000,4250,4490,
132,Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905
133,Norway,,9010,6950,,,,1230,1420,4010,5410,3270,6330,7210,,9760,13100,12500,9990,7610,4230,835,133,1090,4140,5030,5770,5650,62000,403,339,564,392,575,0,2220,5950,5550,3510,2630,3170,3420,2070,909,198,350,576,483,177,2,40,
134,Nepal,,,,,,,,,,,,,,849000,849000,,,,808000,,,,,,,,,,,106M,883000,,,689000,677000,,,,,,,22000,2900,,30900,49900,49300,101000,,103000,
135,Nauru,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,86,,,,,234,,31,,40,,,,67
136,New Zealand,106,795,367,1860,2070,1610,1220,1530,2000,2080,1870,2390,2710,3910,1590,1310,732,420,323,510,1460,3140,7700,,9430,5060,3550,852,,,,,,,,,,,,,,,,5670,7230,6660,3660,913,1110,0,
137,Oman,,,,114000,110000,104000,107000,,103000,102000,,103000,103000,103000,96300,97500,89900,89600,96400,98000,99000,99900,98700,90800,89000,85100,75500,73200,65300,58500,54800,50900,51000,55600,,,,,,6060,,3320,1060,761,1660,1630,412,4180,8730,7920,4740
138,Panama,65900,46300,40600,35800,,32500,34100,,29000,34000,38000,42900,46700,51000,52200,50600,51000,48700,51800,47100,46700,,,,,,,,,22800,17800,12100,4140,,1780,4850,2060,2240,6780,16900,13600,17200,20200,27300,37400,44400,,58700,,,512k
139,Peru,559000,,,510000,,,,,,,476000,344000,327000,,,166000,,,308000,,,,,349000,,542000,563000,586000,113000,61700,31700,20400,17400,72000,22100,21300,21000,19800,19600,39400,17500,21200,,,,,11000,33800,47600,,
140,Philippines,,,,,,,221000,,,281000,,523000,533000,671000,741000,463000,525000,514000,344000,215000,135000,,425000,529000,706000,,451000,,919000,126M,,111M,107M,115M,124M,122M,143M,141M,127M,992000,,,,,333000,364000,430000,424000,501000,406000,
141,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,69,,,,,,59
142,Papua New Guinea,,,,,,,,,,,,,,,,,,,,308000,,,,,,,,,,,,,,,,,,,,,,,,,,,86100,,,,
143,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95900,102000,108000,134000,158000,177000,188000,177000,166000,147000,128000,112000,110000,89200,75800,77600,,,59800,50700,27200,
144,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30700,40000,36400,38200,,,,,,,
145,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,,,,,,,,,
146,Portugal,,,,116000,116000,,72400,62200,37700,,43000,38100,,,20800,5540,3500,4720,,,2570,9970,3090,2140,7580,3870,3040,,,,16200,,,,,2120,2960,,,461,142,1190,907,525,3050,7800,11200,3660,2430,2040,
147,Paraguay,87000,,136000,84800,,100000,96800,93600,86200,80600,70400,61100,,60900,64800,67500,75900,74200,67200,58000,48600,37300,102000,31600,67700,71100,47500,,,18600,7270,8970,23100,27500,31800,29000,41900,57700,71400,81900,81500,82100,86100,,,,,,,,1610k
148,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34700,33500,43000,45200,49600,53600,63700,66200,69200,58500,50000,43000,38000,23600,22000,17500,19500,18700,12200,13000,17600,246k
149,French Polynesia,,,,,,,,,,,,,,1270,1350,1680,,,,286,81,,,156,,106,159,,,,,,,,,,,,,,,,,,,,,,,,
150,Qatar,,2690,2230,2180,2470,,2180,1990,1210,920,934,1310,1220,1810,1980,2870,2770,4320,5150,5920,7200,10000,12100,13000,10500,,,,1490,715,2170,1520,1030,1960,2730,905,3890,285,,1700,1790,581,2080,6670,7000,4350,3580,2970,1990,2950,
151,Romania,,,,,,,,,,,,,,,,,,,,,,,,335000,227000,164000,149000,150000,96100,127000,118000,103000,63700,23700,1160,3180,20200,19500,20500,18800,20300,24500,33100,,,82500,104000,126000,136000,135000,
152,Russia,,,,,,,,,,,,,,,,,,,,,,,,,228000,487000,,,,,,,,,,,393000,338000,114000,45000,,21700,24600,23000,150000,80700,36900,8520,10800,4880,
153,Rwanda,,,,302000,321000,345000,,336000,329000,,,,,,,,,,,,,,,,,,,,,171000,,,256000,197000,,,,,,,,,,,,,14000,42700,81300,121000,
154,Saudi Arabia,,,,,,,,,,776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253000,89200,90200,4620,67700,,22100,59000,,,,1770k
155,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236M,262M,262M,265M,266M,256M,244M,213M,,
156,Senegal,,,,,,,,,586000,585000,595000,602000,607000,610000,625000,640000,585000,,620000,654000,689000,,745000,,781000,,747000,696000,668000,697000,658000,,,580000,643000,637000,594000,561000,555000,562000,553000,550000,503000,541000,542000,564000,,,,681000,6710k
157,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,72,476,236,
158,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18300,14900,15000,,,,,,360,492,68,,,4350,6830,
159,Sierra Leone,,,,,,,,,,,,,,369000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43700,2480,,19300,6100,,,,
160,El Salvador,216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,,62600,56800,42100,38200,,,,,,,,,,,50000,64800,74300,103000,95700,109000,
161,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62
162,Somalia,,,,,,,498000,570000,668000,749000,821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,422,3170,4170,9980,15000,7460,10500,10000,3420,2190,2250,2750,3820,4890,7670
164,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894000,,,,109M,,,,,
165,Sao Tome and Principe,,,,,,,,,,,,,,662,689,,,1700,1510,,1110,,,,,,,,,4730,,,1080,784,455,456,,2710,2520,2470,2720,,,3730,3700,3820,,2100,,,
166,Suriname,,,,,,,,3730,2680,,,,,,,594,,728,648,,,,,,,,,,,,,,,,,10900,9670,10800,7120,5170,6260,7420,7120,7400,7670,6600,5850,8580,8600,7680,
167,Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500,18400,21400,22200,17800,11400,5710,5560,8040,10400,11700,9150,8540,11000,13400,14600,12600,10200,7560,
168,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,7540,5520,4670,2210,3170,3850,3140,2430,1590,382,135,50,846,729,764,683,353,431,718,894,521,558,225,294,140,
169,Sweden,,,,,,,3900,,,,,,25900,,,,,11200,9450,7190,2810,1600,939,2150,611,7180,1250,1130,,1600,2560,1970,1920,5060,20600,30200,30900,22000,7760,2090,2050,1650,921,253,429,17,970,1880,892,880,
170,Eswatini,35900,37200,36600,35000,35200,34100,34400,34700,36200,37300,37000,35900,38600,42300,43900,43500,46300,46900,49200,51900,50100,50900,49400,50600,47000,41300,42300,,,,,,,,,,,,,34600,23400,13300,22600,30200,29100,31800,32000,35900,33800,31400,
171,Seychelles,,,,,,,,,,1600,,,,,,,,,,,,,,1190,887,801,763,,52,,155,824,112,51,55,57,,,,,,,,64,84,77,152,249,269,224,135
172,Syria,,309000,,220000,206000,211000,208000,203000,215000,226000,222000,231000,236000,239000,214000,194000,169000,106000,112000,108000,118000,97300,90200,91100,87200,87700,91100,113000,87400,89600,81200,63900,59700,28700,18200,15100,15500,15100,15100,17400,21800,,,523000,,,,,,,
173,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,88,,,413,,260,230,45,425,854,694,643,,,,,,,,,,,,,,,
174,Chad,,,,,,474000,,491000,,,,,,,,,,,618000,,,,,,,,769000,731000,692000,694000,698000,707000,683000,689000,,,,,,,,816000,,509000,,512000,675000,840000,694000,724000,
175,Togo,,167000,170000,,,,,,125000,124000,126000,,148000,166000,210000,228000,262000,218000,224000,230000,230000,219000,,,261000,202000,148000,167000,,88400,99700,77700,73000,73500,67000,65700,59600,89100,82300,,,,,,89400,69600,96400,90500,66400,40100,158k
176,Thailand,,,,178M,181M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000,84500,113000,93500,,,,,,,,,,,
177,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24200,27300,15200,15100,13100,11700,13800,11200,10900,9260,8000,8810,5660,5210,9410,13300,13600,4180,,,
178,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28100,18100,18500,13600,16700,14800,13200,10500,10200,5690,7730,9000,
179,Tonga,1990,1840,883,,1800,456,,,,,,,179,1380,158,435,464,,,,1190,,,1140,,,,,873,995,,146,,,290,181,167,,,,,,198,189,,163,,,33,52,94
180,Trinidad and Tobago,,13600,15200,16500,16300,14100,8090,6580,9600,17100,22400,14300,12400,12600,14000,13700,17100,13700,12600,15600,19800,21100,22400,24300,,,21700,21100,,3530,1010,1710,8000,5710,1520,5120,,921,2430,2020,1510,,,,,,,,,,
181,Tunisia,,201000,,,,233000,,,218000,206000,188000,173000,148000,118000,90300,83200,75100,70600,68200,64800,75000,63900,60100,50500,51100,48500,61100,75700,,74000,58800,34900,8410,11600,13500,13400,15300,24800,20700,14300,11200,11200,13900,11000,,,,,,,
182,Turkey,,,,,739000,,,,,,,,,,,488000,437000,463000,362000,367000,257000,304000,294000,453000,506000,542000,,511000,,320000,263000,228000,208000,181000,162000,143000,127000,97300,148000,306000,248000,312000,404000,343000,277000,278000,311000,273000,267000,260000,
183,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,71,178,,,297,273
184,Tanzania,,,,,,,159M,,,,104M,112M,134M,143M,16M,177M,188M,2M,214M,22M,23M,24M,248M,261M,276M,284M,291M,297M,307M,312M,296M,273M,18M,126M,965000,646000,226000,,69200,,604000,,11M,137M,158M,,156M,161M,19M,171M,181M
185,Uganda,,,,,,,,,,15M,,148M,148M,,,,127M,,,,,,,,,,,,,,,,,,,,,,,319000,575000,370000,,329000,,,,,,,
186,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59700,199000,196000,183000,196000,197000,195000,184000,143000,111000,100000,101000,136000,,,,,,
187,Uruguay,,,,,,,,,,,,,,43800,43500,38800,37600,40300,,,,25000,18800,16600,21800,23600,25400,25200,,,,,,,,206,197,4640,802,908,470,586,677,245,8590,41,0,857,428,1580,
188,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136000,,,,,,,,712000,,446000,88800,105000,142000,225000,
189,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167000,136000,144000,124000,109000,74500,50800,20900,15400,15200,16700,17300,15300,234k
190,St Vincent and the Grenadines,,,,,,,,,,,,,,,1270,,588,,,,,,,,95,,,,,,295,,158,94,104,269,,181,259,99,71,97,38,21,,113,94,58,,,
191,Venezuela,,488000,484000,493000,530000,527000,480000,463000,440000,425000,,,,,,,,,,,,,,,,,,,,355000,271000,199000,82600,141000,139000,169000,169000,123000,195000,137000,117000,121000,133000,163000,196000,208000,278000,325000,,,
192,British Virgin Islands,,,,,,,,,,,,,,200,222,39,,,,,33,7,6,,71,,,,,49,414,199,53,40,,155,235,45,,50,77,2,171,103,20,,,,48,,
193,Vietnam,,,,,,,,180000,657000,,,444000,,,,658000,,,,,,,,,,,,,12400,34000,146000,272000,550000,,,686000,483000,,94200,0,0,0,0,0,,,,,,,
194,Vanuatu,,,,,,,,,,,,2990,,,,,,,,6100,,,,,,,,,558,686,200,131,241,104,766,279,,,,,,,,,,3300,,,,1980,1580
195,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,1780,,,,1040,1170,706,692,,,,,,456,,75,157,417,382,,236,165,411,185,387,,
196,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136M,,116M,,998000,906000,832000,,,830000,,648000,,561000,541000,,,650000,,,,
197,South Africa,129M,,,,,,,,,,,,,,,,,,,,,880000,,,793000,755000,,,731000,641000,724000,653000,563000,460000,397000,381000,,,,,,,,,,312000,,568000,845000,843000,
198,Zambia,,,208000,,,,210000,216000,235000,249000,259000,268000,281000,271000,267000,,267000,,316000,,,,,,477000,520000,,,610000,651000,665000,684000,637000,,387000,207000,254000,201000,198000,289000,379000,293000,264000,352000,,,,496000,,,
199,Zimbabwe,,,,,,,,,,,,,38300,,17300,,25700,,,,,,,,,,,,366000,293000,244000,163000,220000,233000,,,,,,,,,13900,11800,,339000,339000,420000,427000,435000,4020k
